ARMOR_BONUS,ATTACK_BONUS,ATTRIBUTE,ATTRIBUTE_LABEL,BASE_MANA_COST,BOARD_POSITION_RELATIVE,BOARD_POSITION_RELATIVE_LABEL,CANNOT_RECEIVE_OWNED,CANNOT_RECEIVE_OWNED_LABEL,CARD_DESC_TYPE,CARD_DESC_TYPE_LABEL,CARD_LOCATION,CARD_LOCATION_LABEL,CARD_TYPE,CARD_TYPE_LABEL,CLASS,CLASS_LABEL,EXCLUSIVE,EXCLUSIVE_LABEL,FULL_MANA_CRYSTALS,FULL_MANA_CRYSTALS_LABEL,HERO_CLASS,HERO_CLASS_LABEL,HOW_MANY,HP_BONUS,MANA,MANA_MODIFIER,OPERATION,OPERATION_LABEL,RANDOM_TARGET,RANDOM_TARGET_LABEL,RANK,RARITY,RARITY_LABEL,SECONDARY_VALUE,SUB_SPELL_COUNT,SUB_SPELL_PROBABILITY,SUB_SPELL_RANK,SUB_TRIGGER_COUNT,SUB_TRIGGER_PROBABILTY,SUB_TRIGGER_RANK,SUMMON_BASE_ATTACK,SUMMON_BASE_HP,SUMMON_CHARGE,SUMMON_CHARGE_LABEL,SUMMON_DIVINE_SHIELD,SUMMON_DIVINE_SHIELD_LABEL,SUMMON_RACE,SUMMON_STEALTH,SUMMON_STEALTH_LABEL,SUMMON_TAUNT,SUMMON_TAUNT_LABEL,SUMMON_TRIGGERS,SUMMON_WINDFURY,SUMMON_WINDFURY_LABEL,TARGET_PLAYER,TARGET_PLAYER_LABEL,TARGET_SELECTION,TARGET_SELECTION_LABEL,VALUE
,,,,1,,,,,,,,,,,92,ReturnMinionToHandSpell,,,,,0,ANY,,,,,,,,,4,0,FREE,,0,0.0,5,,,,,,,,,,,,,,,,,,,,7,FRIENDLY_MINIONS,
,1,,,1,,,,,,,,,,,9,BuffSpell,,,,,0,ANY,,,,,,,,,4,0,FREE,,0,0.0,5,,,,,,,,,,,,,,,,,,,,3,MINIONS,
,,,,2,,,,,,,,,,,113,SummonSpell,,,,,5,MAGE,,,,,,,,,0,4,LEGENDARY,,,,,1,1.0,1,2,2,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,2,,,,,,,,,,,83,ReceiveCardSpell,,,,,5,MAGE,,,,,,,,,1,4,LEGENDARY,,2,1.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,6,,,,,,,,,,,113,SummonSpell,,,,,5,MAGE,,,,,,,,,2,4,LEGENDARY,,,,,1,1.0,3,6,6,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,6,,,,,,,,,,,83,ReceiveCardSpell,,,,,5,MAGE,,,,,,,,,3,4,LEGENDARY,,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,0,FREE,,,,,1,1.0,1,3,3,,,,,,,,,,,,,,,,,
,,,,4,,,,,,,,,,,21,ConditionalSpell,,,,,0,ANY,,,,,,,,,1,0,FREE,,1,1.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,4,,,,,,,,,,,31,DestroySpell,,,,,0,ANY,,,,,,,1,true,2,0,FREE,,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,3,DRUID,,,,,,,,,0,1,COMMON,,,,,0,0.0,1,5,5,,,,,BEAST,,,,,[],,,,,,,
,,,,5,,,,,,,,,,,113,SummonSpell,,,,,3,DRUID,,,,,,,,,0,1,COMMON,,,,,0,0.0,1,4,4,,,,,,,,,,[],,,,,,,
,,,,5,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,3,EPIC,,,,,1,1.0,1,4,6,,,,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,83,ReceiveCardSpell,,,,,0,ANY,,,,,,,,,1,3,EPIC,,1,1.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,51,GainManaSpell,,,,,0,ANY,,,,,,,,,2,0,FREE,,0,0.0,3,,,,,,,,,,,,,,,,,,,,0,NONE,1
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,4,LEGENDARY,,,,,1,1.0,1,1,1,0,false,0,false,,1,true,0,false,,0,false,,,,,
,,,,3,2,RIGHT,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,1,4,LEGENDARY,,1,1.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,2,4,LEGENDARY,,,,,0,0.0,3,1,1,,,,,,,,,,[],,,,,,,
,,,,2,,,,,,,,,,,59,MetaSpell,,,,,3,DRUID,,,,,,,,,0,1,COMMON,,2,1.0,1,,,,,,,,,,,,,,,,,,,,3,MINIONS,
,,,,2,,,,,,,,,,,41,DrawCardSpell,,,,,3,DRUID,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,1
,,,,2,,,,,,,,,,,27,DamageSpell,,,,,3,DRUID,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,1
,,,,2,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,2,RARE,,,,,1,1.0,1,1,1,,,,,,,,,,,,,,,,,
,1,,,2,,,,,,,,,,,9,BuffSpell,,,,,0,ANY,,1,,,,,,,1,2,RARE,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,59,MetaSpell,,,,,3,DRUID,,,,,,,,,0,1,COMMON,,2,1.0,1,,,,,,,,,,,,,,,,,,,,3,MINIONS,
,,,,2,,,,,,,,,,,27,DamageSpell,,,,,3,DRUID,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,4
,,,,2,,,,,,,,,,,41,DrawCardSpell,,,,,3,DRUID,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,0,SELF,,,1
,,,,2,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,4,LEGENDARY,,,,,1,1.0,1,2,4,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,41,DrawCardSpell,,,,,0,ANY,,,,,,,,,1,4,LEGENDARY,,0,0.0,2,,,,,,,,,,,,,,,,,,1,OPPONENT,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,4,HUNTER,,,,,,,,,0,3,EPIC,,,,,1,1.0,1,2,2,0,false,0,false,BEAST,0,false,0,false,,0,false,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,4,HUNTER,,,,,,,,,1,3,EPIC,,1,1.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,113,SummonSpell,,,,,4,HUNTER,,,,,,,,,2,0,FREE,,,,,0,0.0,3,1,1,,,,,BEAST,,,,,[],,,,,,,
,,,,4,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,4,LEGENDARY,,,,,0,0.0,1,1,7,0,false,0,false,,0,false,0,false,[],0,false,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,0,FREE,,,,,0,0.0,1,3,1,1,true,0,false,,0,false,0,false,[],0,false,,,,,
,,,,4,,,,,,,,,,,113,SummonSpell,,,,,11,WARRIOR,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,3,3,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,4,,,,,,,,,,,46,EquipWeaponSpell,,,,,11,WARRIOR,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,4,4,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,50,FumbleSpell,,,,,0,ANY,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,3,EPIC,,,,,1,1.0,1,2,3,,,,,,,,,,,,,,,,,
,2,,,3,,,,,,,,,,,9,BuffSpell,,,,,0,ANY,,2,,,,,,,1,3,EPIC,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,2,,,2,,,,,,,,,,,9,BuffSpell,,,,,11,WARRIOR,,2,,,,,,,0,1,COMMON,,0,0.0,1,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,1,3,0,false,0,false,BEAST,0,false,0,false,,0,false,,,,,
,,,,3,2,RIGHT,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,1,1,COMMON,,1,1.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,2,1,COMMON,,,,,0,0.0,3,1,3,,,,,BEAST,,,,,[],,,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,4,HUNTER,,,,,,,,,0,1,COMMON,,1,1.0,1,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,1,,,,,,,,,,,113,SummonSpell,,,,,4,HUNTER,,,,,,,,,1,1,COMMON,,,,,0,0.0,2,1,1,1,true,0,false,BEAST,0,false,0,false,[],0,false,,,,,
,,,,2,,,,,,,,,,,14,ChangeHeroPowerSpell,,,,,4,HUNTER,,,,,,,,,0,3,EPIC,,1,1.0,0,,,,,,,,,,,,,,,,,,0,SELF,0,NONE,
,,,,2,,,,,,,,,,,9,BuffSpell,,,,,4,HUNTER,,,,,,,,,0,0,FREE,,0,0.0,1,,,,,,,,,,,,,,,,,,,,3,MINIONS,2
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,2,RARE,,,,,1,1.0,1,2,4,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,52,HealSpell,,,,,0,ANY,,,,,,,,,1,2,RARE,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,4
,,,,1,,,,,,,,,,,27,DamageSpell,,,,,6,PALADIN,,,,,,,,,0,1,COMMON,,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,0,FREE,,,,,0,0.0,1,2,1,1,true,0,false,MURLOC,0,false,0,false,[],0,false,,,,,
4,4,,,4,,,,,,,,,,,8,BuffHeroSpell,,,,,3,DRUID,,,,,,,,,0,2,RARE,,0,0.0,1,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,5,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,4,LEGENDARY,,,,,1,1.0,1,5,4,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,5,,,,,,,,,,,59,MetaSpell,,,,,0,ANY,,,,,,,,,1,4,LEGENDARY,,2,1.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,5,,,,,,,,,,,41,DrawCardSpell,,,,,0,ANY,,,,,,,,,2,4,LEGENDARY,,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,31,DestroySpell,,,,,0,ANY,,,,,,,,,2,4,LEGENDARY,,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,0,0.0,1,3,4,,,,,MECH,,,,,[],,,,,,,
,,,,4,,,,,,,,,,,113,SummonSpell,,,,,9,SHAMAN,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,2,6,,,,,,,,,,,,,,,,,
,,,,4,,,,,,,,,,,62,MissilesSpell,,,,,9,SHAMAN,1,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,2
,,,,3,,,,,,,,,,,72,PutCopyInHandSpell,,,,,5,MAGE,2,,,,,,,,0,1,COMMON,,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,9,SHAMAN,,,,,,,,,0,3,EPIC,,,,,0,0.0,1,4,2,,,,,,,,,,[],,,,,,,
,,,,6,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,0,FREE,,,,,0,0.0,1,5,2,1,true,0,false,,0,false,0,false,[],0,false,,,,,
,,,,3,,,,,,,,,,,31,DestroySpell,,,,,4,HUNTER,,,,,,,1,true,0,1,COMMON,,0,0.0,1,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,5,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,3,6,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,5,,,,,,,,,,,21,ConditionalSpell,,,,,0,ANY,,,,,,,,,1,1,COMMON,,3,1.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,5,,,,,,,,,,,59,MetaSpell,,,,,0,ANY,,,,,,,,,2,1,COMMON,,2,1.0,3,,,,,,,,,,,,,,,,,,,,,,
,1,,,5,,,,,,,,,,,9,BuffSpell,,,,,0,ANY,,1,,,,,,,3,1,COMMON,,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,
,,22,TAUNT,5,,,,,,,,,,,0,AddAttributeSpell,,,,,0,ANY,,,,,,,,,3,1,COMMON,,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,2,RARE,,,,,0,0.0,1,3,5,0,false,0,false,BEAST,0,false,1,true,[],0,false,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,4,5,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,3,,,,,,,,,,,51,GainManaSpell,,,,,0,ANY,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,1,OPPONENT,0,NONE,1
,,36,STEALTH,1,,,,,,,,,,,0,AddAttributeSpell,,,,,0,ANY,,,,,,,,,0,0,FREE,,0,0.0,1,,,,,,,,,,,,,,,,,,,,7,FRIENDLY_MINIONS,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,0,0.0,1,2,1,1,true,1,true,,0,false,0,false,[],0,false,,,,,
,,,,2,,,,,,,,,,,92,ReturnMinionToHandSpell,,,,,4,HUNTER,,,,,,,,,0,1,COMMON,,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,11,CardCostModifierSpell,,,,,4,HUNTER,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,7,PRIEST,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,3,4,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,3,,,,,,,,,,,9,BuffSpell,,,,,7,PRIEST,,3,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,7,FRIENDLY_MINIONS,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,10,WARLOCK,,,,,,,,,0,3,EPIC,,,,,1,1.0,1,5,5,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,27,DamageSpell,,,,,10,WARLOCK,,,,,,,,,1,3,EPIC,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,5
,,,,1,,,,,,,,,,,113,SummonSpell,,,,,6,PALADIN,,,,,,,,,0,0,FREE,,,,,0,0.0,1,1,1,,,,,,,,,,[],,,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,2,4,0,false,0,false,,0,false,0,false,,0,false,,,,,
,1,,,3,,,,,,,,,,,9,BuffSpell,,,,,0,ANY,,1,,,,,1,true,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,0,,,,,,,,,,,27,DamageSpell,,,,,8,ROGUE,,,,,,,,,0,0,FREE,,0,0.0,1,,,,,,,,,,,,,,,,,,,,3,MINIONS,2
,,,,2,,,,,,,,,,,59,MetaSpell,,,,,4,HUNTER,,,,,,,,,0,2,RARE,,7,1.0,1,,,,,,,,,,,,,,,,,,,,3,MINIONS,
,1,,,2,,,,,,,,,,,9,BuffSpell,,,,,4,HUNTER,,1,,,,,,,1,2,RARE,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,1,AddDeathrattleSpell,,,,,4,HUNTER,,,,,,,,,1,2,RARE,,5,1.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,83,ReceiveCardSpell,,,,,4,HUNTER,,,,,,,,,2,2,RARE,,4,1.0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,59,MetaSpell,,,,,4,HUNTER,,,,,,,,,0,2,RARE,,3,1.0,1,,,,,,,,,,,,,,,,,,,,3,MINIONS,
,1,,,2,,,,,,,,,,,9,BuffSpell,,,,,4,HUNTER,,1,,,,,,,1,2,RARE,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,1,AddDeathrattleSpell,,,,,4,HUNTER,,,,,,,,,1,2,RARE,,1,1.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,83,ReceiveCardSpell,,,,,4,HUNTER,,,,,,,,,2,2,RARE,,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,113,SummonSpell,,,,,7,PRIEST,,,,,,,,,0,2,RARE,,,,,1,1.0,1,1,4,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,2,,,,,,,,,,,21,ConditionalSpell,,,,,7,PRIEST,,,,,,,,,1,2,RARE,,3,1.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,2,,,,,,,,,,,59,MetaSpell,,,,,7,PRIEST,,,,,,,,,2,2,RARE,,2,1.0,3,,,,,,,,,,,,,,,,,,,,,,
,1,,,2,,,,,,,,,,,9,BuffSpell,,,,,7,PRIEST,,,,,,,,,3,2,RARE,,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,
,,22,TAUNT,2,,,,,,,,,,,0,AddAttributeSpell,,,,,7,PRIEST,,,,,,,,,3,2,RARE,,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,113,SummonSpell,,,,,3,DRUID,,,,,,,,,0,1,COMMON,,,,,0,0.0,1,4,6,0,false,0,false,BEAST,0,false,1,true,[],0,false,,,,,
,,,,8,,,,,,,,,,,113,SummonSpell,,,,,11,WARRIOR,,,,,,,,,0,4,LEGENDARY,,,,,1,1.0,1,4,9,1,true,0,false,,0,false,0,false,,0,false,,,,,
,6,,,8,,,,,,,,,,,44,EnrageSpell,,,,,11,WARRIOR,,,,,,,,,1,4,LEGENDARY,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,7,7,,,,,,,,,,,,,,,,,
,,,,4,,,,,,,,,,,43,EitherOrSpell,,,,,0,ANY,,,,,,,,,1,1,COMMON,,2,1.0,2,,,,,,,,,,,,,,,,,,,,,,
,,50,CANNOT_ATTACK,4,,,,,,,,,,,86,RemoveAttributeSpell,,,,,0,ANY,,,,,,,,,2,1,COMMON,,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,
,,50,CANNOT_ATTACK,4,,,,,,,,,,,0,AddAttributeSpell,,,,,0,ANY,,,,,,,,,2,1,COMMON,,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,113,SummonSpell,,,,,9,SHAMAN,,,,,,,,,0,2,RARE,,,,,1,1.0,1,3,6,,,,,,,,,,,,,,,,,
,2,,,5,,,,,,,,,,,9,BuffSpell,,,,,9,SHAMAN,,,,,,,,,1,2,RARE,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,1,COMMON,,,,,1,1.0,1,2,2,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,2,,,,,,,,,,,52,HealSpell,,,,,0,ANY,,,,,,,,,1,1,COMMON,,0,0.0,2,,,,,,,,,,,,,,,,,,,,2,ANY,2
,1,,,1,,,,,,,,,,,9,BuffSpell,,,,,6,PALADIN,,1,,,,,,,0,2,RARE,,0,0.0,1,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,6,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,3,EPIC,,,,,1,1.0,1,2,8,,,,,DRAGON,,,,,,,,,,,,
,,,,6,,,,,,,,,,,39,DoubleAttackSpell,,,,,0,ANY,,,,,,,,,1,3,EPIC,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,59,MetaSpell,,,,,4,HUNTER,,,,,,,,,0,3,EPIC,,2,1.0,1,,,,,,,,,,,,,,,,,,,,7,FRIENDLY_MINIONS,
,,,,1,,,,,,,,,,,119,TemporaryAttackSpell,,,,,4,HUNTER,,,,,,,,,1,3,EPIC,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,2
,,33,IMMUNE,1,,,,,,,,,,,0,AddAttributeSpell,,,,,4,HUNTER,,,,,,,,,1,3,EPIC,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,6,,,,,,,,,,,59,MetaSpell,,,,,6,PALADIN,,,,,,,,,0,3,EPIC,,2,1.0,1,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,6,,,,,,,,,,,29,DestroyAllExceptOneSpell,,,,,6,PALADIN,,,,,,,,,1,3,EPIC,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,6,,,,,,,,,,,29,DestroyAllExceptOneSpell,,,,,6,PALADIN,,,,,,,,,1,3,EPIC,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,4,HUNTER,,,,,,,,,0,0,FREE,,,,,0,0.0,1,4,2,1,true,0,false,BEAST,0,false,0,false,[],0,false,,,,,
,,,,3,,,,,,,,,,,113,SummonSpell,,,,,3,DRUID,,,,,,,,,0,2,RARE,,,,,1,1.0,1,3,3,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,3,,,,,,,,,,,21,ConditionalSpell,,,,,3,DRUID,,,,,,,,,1,2,RARE,,1,1.0,2,,,,,,,,,,,,,,,,,,,,0,NONE,
,,,,3,,,,,,,,,,,9,BuffSpell,,,,,3,DRUID,,,,,,,,,2,2,RARE,,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,2
,,,,1,,,,,,,,,,,27,DamageSpell,,,,,8,ROGUE,,,,,,,,,0,0,FREE,,0,0.0,1,,,,,,,,,,,,,,,,,,,,0,NONE,3
,,,,1,,,,,,,,,,,52,HealSpell,,,,,7,PRIEST,,,,,,,,,0,1,COMMON,,0,0.0,1,,,,,,,,,,,,,,,,,,,,2,ANY,5
,,,,4,,,,,,,,,,,113,SummonSpell,,,,,7,PRIEST,,,,,,,,,0,2,RARE,,,,,1,1.0,1,4,3,0,false,0,false,,0,false,0,false,,0,false,,,,,
,,,,4,,,,,,,2,DECK,,,22,CopyCardSpell,,,,,7,PRIEST,,,,,,,,,1,2,RARE,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,1
,,,,6,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,4,LEGENDARY,,,,,1,1.0,1,5,5,,,,,,,,,,,,,,,,,
,,,,6,,,,,,,,,,,11,CardCostModifierSpell,,,,,0,ANY,,,,,,,,,1,4,LEGENDARY,,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,
,,,,9,,,,,,,,,,,113,SummonSpell,,,,,0,ANY,,,,,,,,,0,4,LEGENDARY,,,,,0,0.0,1,8,8,,,,,DRAGON,,,,,[],,,,,,,
