Deck 1	Deck 2	Number of Games	Player 1 WIN_RATE	Player 1 GAMES_WON	Player 1 GAMES_LOST	Player 1 DAMAGE_DEALT	Player 1 HEALING_DONE	Player 1 MANA_SPENT	Player 1 CARDS_PLAYED	Player 1 TURNS_TAKEN	Player 1 ARMOR_GAINED	Player 1 CARDS_DRAWN	Player 1 FATIGUE_DAMAGE	Player 1 MINIONS_PLAYED	Player 1 SPELLS_CAST	Player 1 HERO_POWER_USED	Player 1 WEAPONS_EQUIPPED	Player 1 WEAPONS_PLAYED	Player 1 CARDS_DISCARDED	Player 2 WIN_RATE	Player 2 GAMES_WON	Player 2 GAMES_LOST	Player 2 DAMAGE_DEALT	Player 2 HEALING_DONE	Player 2 MANA_SPENT	Player 2 CARDS_PLAYED	Player 2 TURNS_TAKEN	Player 2 ARMOR_GAINED	Player 2 CARDS_DRAWN	Player 2 FATIGUE_DAMAGE	Player 2 MINIONS_PLAYED	Player 2 SPELLS_CAST	Player 2 HERO_POWER_USED	Player 2 WEAPONS_EQUIPPED	Player 2 WEAPONS_PLAYED	Player 2 CARDS_DISCARDED
Aggro Druid	Exodia Mage	10000	0.9619	9619	381	271030		380609	221066	129985	37165	155208	125	284317	62391	37165				0.0381	381	9619	831523	180	507289	275633	129325	44448	175870	14903	176898	115496	76390			
Tempo Rogue	Elemental Priest	10000	0.8788	8788	1212	396309	6508	495652	231663	131627	11	132483	28	343449	32252	37142	36001	140	4	0.121	1210	8790	1032130	145858	470394	273304	128458	4001	165169	7170	181658	95274	90616	54	26	260
Token Shaman	Aggro Druid	10000	0.7539	7539	2461	830177	16023	432768	212582	123282	1343	142974	606	271111	72511	33525	10385	10312	206	0.2455	2455	7545	931180	351	334182	199729	121514	35996	124606	12	271253	54447	35687	12	11	56
Miracle Rogue	Elemental Priest	10000	0.5126	5126	4874	571013	12471	576837	307603	147744	28	244293	28797	275044	143510	45723	43740	204	3	0.4869	4869	5131	972714	169430	600540	323570	146240	5973	191077	7442	243525	107374	100241	60	20	407
Spiteful Priest	Demon Warlock	10000	0.9343	9343	657	583202	91561	657152	252293	152438		152526	9320	312145	26353	85777	828	753	3	0.0656	656	9344	1728026	205113	709237	228960	150623		181677	52445	252797	88822	45389	525	524	
Mill Rogue	Spiteful Priest	10000	0.0152	152	9848	623476	12605	391925	231839	121870		150225	2919	161416	97247	33873	51215	17342		0.9848	9848	152	322941	49987	513361	208454	124272		154641	3277	279254	14464	59478	619	558	107
Aggro Paladin	Elemental Priest	10000	0.8557	8557	1443	360760	264	392418	190340	120101	14	141603	2882	260200	45751	30690	24359	23505		0.1443	1443	8557	864099	115198	404837	243210	117016	3401	150674	5674	158788	85722	81974	429	403	199
Big Spell Mage	Spiteful Priest	10000	0.0848	848	9152	1373727	8697	559982	222622	141364	17352	150598	3573	195002	55213	79498	3551		4	0.9152	9152	848	466719	78450	608218	235180	144687	877	145960	5183	296392	21444	79216	624	422	
Secret Mage	Big Spell Mage	10000	0.3868	3868	6132	746501	1519	555709	298054	147564	3070	191202	59989	236175	102370	80863	5951	5478	34	0.6131	6131	3869	750380	7655	608167	229543	145235	22127	156532	522	205767	58282	76612	3933		
Mill Rogue	Exodia Mage	10000	0.8929	8929	1071	271577	25668	665295	359598	166977		241813	29556	266337	148455	43305	71828	28523		0.1023	1023	8977	685204	172	781406	374050	172709	56240	254855	194278	278165	159988	82316			2
Big Spell Mage	Demon Warlock	10000	0.5859	5859	4141	1342475	19753	902645	329171	201586	19625	212778	16481	295812	88949	116047	5636			0.4135	4135	5865	1252287	284240	1053252	315346	203984	143	222854	131161	369893	123356	65663	1300	1237	
Secret Mage	Jade Druid	10000	0.1456	1456	8544	877404	1367	531246	289973	140185		179160	42463	232922	94933	78483	4569	4569		0.8541	8541	1459	661135		676285	223086	140664	139808	205242	15631	179553	126783	40423			
Zoo Warlock	Aggro Druid	10000	0.7091	7091	2909	715104	2673	321065	172331	102416		144670	79	270934	15930	26663			24626	0.2909	2909	7091	788891		267604	162674	99991	26168	101882		227225	44806	26168			
Elemental Priest	Big Spell Mage	10000	0.1702	1702	8298	1035481	188512	779048	415635	196013	9764	230009	66573	258557	140036	148436	138	36	571	0.8294	8294	1706	962720	15640	920428	324674	195788	26832	208964	3044	314955	80055	105322	6896	2	38
Murloc Paladin	Highlander Priest	10000	0.9808	9808	192	265258	71	337828	170815	107418	11	125898	744	268565	28325	21596	8309	8309	1	0.0191	191	9809	743220	98276	321540	203599	103494	2456	133517	6626	123017	71113	69862	109	100	113
Dragon Priest	Mill Rogue	10000	0.9779	9779	221	361325	55105	577299	223669	132911		165028	4823	300843	16044	62904	710	647	74	0.0219	219	9781	641025	15300	432291	250497	130431		160724	4158	176207	104306	35756	54857	19101	
Dragon Priest	Tempo Rogue	10000	0.6881	6881	3119	838726	51488	445888	188988	117344		119471	89	242168	12865	64947	187	123		0.3119	3119	6881	891410	5318	431553	206014	117432	6	117878	57	307011	30109	31340	30799	145	
Zoo Warlock	Big Spell Mage	10000	0.6972	6972	3028	541860	15282	420165	210930	127195		174062	11746	332574	16920	39758			28510	0.3028	3028	6972	1082543	6751	478488	195286	124436	14779	136725	1021	170252	49628	68610	2704		12
Spiteful Priest	Midrange Hunter	10000	0.5153	5153	4847	717902	44143	361118	163209	105294		106960	49	197663	9581	58610	942	887	1	0.4844	4844	5156	834660	1196	338959	151619	105760		105760		236931	8138	27882	15785	15785	
Big Priest	Highlander Priest	10000	0.9046	9046	954	619958	264406	942367	334639	200215	40	199035	7380	147172	171781	111825	1123	1123	10	0.0934	934	9066	1064588	130743	828494	426892	199648	10108	243869	63799	282394	131923	149621	114	27	662
Murloc Paladin	Zoo Warlock	10000	0.5396	5396	4604	695078		310944	167059	102514		109722	144	266387	27110	26180	8009	8009		0.4591	4591	5409	764614	4296	326657	176997	103287		145941	139	276769	16319	28488			24632
Aggro Paladin	Spiteful Priest	10000	0.3456	3456	6544	850783		350461	173016	106530		133351	2135	237780	42936	26348	22212	21556		0.6544	6544	3456	682723	39078	361742	166857	106301		108174	50	205857	10921	61933	740	668	
Token Shaman	Exodia Mage	10000	0.9794	9794	206	358634	18916	558103	272423	147388	1975	193620	9176	313394	97816	41958	14074	13927	225	0.0196	196	9804	972680	604	617769	323733	146917	54256	203909	18316	212890	136025	89603	13	4	67
Miracle Rogue	Highlander Priest	10000	0.5222	5222	4778	570243	12508	582444	310160	149080	29	247092	29910	278277	144544	46068	43884	226	4	0.4772	4772	5228	977529	161842	604444	324143	147627	6327	197401	11396	248035	103124	102064	53	19	415
Spiteful Priest	Aggro Hunter	10000	0.7023	7023	2977	620707	43890	342030	156554	102544		104339	13	197577	8912	55588	835	790		0.2976	2976	7024	791294		321495	149639	101424		101424		196575	20857	26583	15234	15234	
Dragon Priest	Zoo Warlock	10000	0.4924	4924	5076	850113	59427	431178	186600	116223		118558	304	225200	12306	67096	188	121	1306	0.5076	5076	4924	1000388	10365	394431	204273	117239		165243	1781	320608	17337	34082			27988
Elemental Priest	Secret Mage	10000	0.4796	4796	5204	741883	162978	560246	307206	143879	4352	183412	6127	196950	107609	98581	87	62	283	0.5202	5202	4798	731300	6077	564135	308428	146346	106	193009	50961	254467	99942	79695	4943	4942	26
Dragon Priest	Highlander Priest	10000	0.9873	9873	127	410761	63909	598057	231679	139890	17	147881	730	292191	18542	74125	338	285	26	0.0127	127	9873	1098112	135079	510045	287520	136086	4567	177681	9225	184324	96530	96508	51	17	292
Mill Rogue	Jade Druid	10000	0.1077	1077	8923	496289	17533	504361	284282	144606		178590	4826	202560	117421	39560	61419	21859		0.8902	8902	1098	527953		761631	251937	147472	152761	243852	82096	233924	131205	39598			
Zoo Warlock	Demon Warlock	10000	0.641	6410	3590	697880	21936	452471	223579	137426		180969	30147	349154	16805	45695			28746	0.358	3580	6420	1250688	208841	622116	203094	135449		174544	14753	223872	79318	36908	296	296	56
Jade Druid	Demon Warlock	10000	0.5421	5421	4579	1128670		897527	291982	179703	232877	248910	263695	236000	171541	57434				0.4566	4566	5434	1384059	246433	923534	280081	177792		214704	53593	318221	106749	52692	802	802	
Big Spell Mage	Jade Druid	10000	0.4161	4161	5839	1244613	15611	758448	278821	169582	27230	183177	4354	257624	71323	92856	5276		11	0.5819	5819	4181	920432		857386	280850	172759	218460	245993	198780	226469	165303	53888			
Murloc Paladin	Tempo Rogue	10000	0.7387	7387	2613	659899		312952	165412	102049		111766	101	270270	26763	24292	7782	7782		0.2605	2605	7395	662472	3774	332966	170332	100668	19	101396	2	250162	26697	26215	26741	706	
Murloc Paladin	Cube Warlock	10000	0.7066	7066	2934	587331		402768	203993	122098		144823	9278	320006	33751	30359	10582	10582		0.2925	2925	7075	1070515	197588	457178	176547	120926		164385	8643	208436	58118	36124	3462	3462	12977
Secret Mage	Midrange Hunter	10000	0.0848	848	9152	676285	586	275894	171156	94111	13	107019	2305	129403	56730	50007	1815	1815		0.9152	9152	848	320486	1185	303059	136521	97305		97305		211094	7120	23249	13936	13936	
Aggro Paladin	Aggro Druid	10000	0.3587	3587	6413	661986		303849	156588	103962		108356	111	214342	38287	28355	19710	19193		0.6404	6404	3596	634015		279199	168817	104676	27440	107388		236011	46258	27440			
Murloc Paladin	Big Priest	10000	0.8493	8493	1507	256475	548	336620	168405	106566		132191	17485	262292	28477	19860	8635	8635		0.1507	1507	8493	606392	144015	308338	151884	102638		102083	1324	34351	77525	63662	208	208	
Secret Mage	Exodia Mage	10000	0.6053	6053	3947	620020	1216	552273	307506	139654	72	201237	66505	256114	104565	73408	4936	4936	2	0.3943	3943	6057	556826	442	575499	297766	138733	38728	196106	8844	196353	129915	74458			18
Murloc Paladin	Mill Rogue	10000	0.9931	9931	69	212286		334871	176817	97233		123915	1755	291340	25789	16389	7120	7120		0.0067	67	9933	446749	4904	260811	166872	93797		114247	240	111122	72618	25796	37532	11736	
Murloc Paladin	Jade Druid	10000	0.6756	6756	3244	593084		403046	201078	119118		146608	14375	315928	33379	27027	10356	10356		0.324	3240	6760	965484		518581	180757	117237	119104	173076	17565	147450	106742	33801			
Secret Mage	Token Shaman	10000	0.1006	1006	8994	937202	1494	426521	250041	122083	149	152616	17227	195198	81896	71798	3417	3413	34	0.8994	8994	1006	520890	14011	446362	213461	124043	1470	144783	508	273266	70729	32782	10531	10494	143
Mill Rogue	Highlander Priest	10000	0.68	6800	3200	409722	23796	654681	351515	176790	115	219935	7531	266707	138541	45758	73653	27902	23	0.317	3170	6830	954837	160407	821948	406493	178937	9420	249591	154274	317554	124560	119033	329	278	597
Token Shaman	Jade Druid	10000	0.5756	5756	4244	1054398	26582	587812	290462	158133	2933	183379	8861	352722	95755	52689	13894	13709	262	0.424	4240	5760	1532837	759	789993	270864	158081	186012	242953	52522	228460	163045	47467	20	15	71
Tempo Rogue	Big Spell Mage	10000	0.6234	6234	3766	486410	377	516831	240676	141505	865	141884	2121	355440	35135	42520	42173	108	16	0.3766	3766	6234	1209092	11564	575761	222778	139735	19991	151842	2085	211982	56524	76076	3772		
Big Priest	Secret Mage	10000	0.6654	6654	3346	556042	243389	626416	242780	153043		152172	1875	79464	127947	87191	540	540		0.3334	3334	6666	779274	11049	623371	315248	155710		200694	86333	259719	104916	80284	5712	5712	8
Cube Warlock	Token Shaman	10000	0.2809	2809	7191	1667906	277586	656866	243698	158623	137	206674	33820	299992	75876	52120	5262	5190	18086	0.7186	7186	2814	958184	19077	577524	286806	159201	2424	180429	6961	361153	92196	53506	13778	13622	325
Secret Mage	Demon Warlock	10000	0.3014	3014	6986	924500	7346	596552	311040	153357		196301	80641	243741	108950	85965	5813	5813		0.6979	6979	3021	875044	204573	742548	232577	151781		194840	16818	258639	87353	41729	458	458	
Murloc Paladin	Aggro Druid	10000	0.7564	7564	2436	634205		326274	171961	108971		113253	220	271181	28589	26849	8316	8316		0.2428	2428	7572	786131		283279	172443	107210	29452	109614	2	237346	47080	29452			
Dragon Priest	Big Spell Mage	10000	0.8892	8892	1108	523747	87209	679033	254652	155303	835	155617	7391	321043	24498	84802	798	555	1	0.1108	1108	8892	1440310	10760	623717	242160	152298	18068	161669	5220	214803	60122	85457	4164		9
Aggro Druid	Highlander Priest	10000	0.889	8890	1110	434870	197	373669	219082	135915	41282	139794	5	289966	56442	41275			1	0.1109	1109	8891	1034367	157458	482960	283229	134006	5198	172501	29665	176235	94734	98579	41		297
Miracle Rogue	Aggro Hunter	10000	0.1035	1035	8965	535649		259054	161947	87244	15	121096	1129	126411	84920	22648	22729	297	1	0.894	8940	1060	350011		284645	133375	89551		89551		193857	17944	19825	12050	12050	
Miracle Rogue	Aggro Druid	10000	0.0891	891	9109	601129	982	281628	172145	91198	3376	130921	4578	127769	91513	24081	24043	80		0.9106	9106	894	354224		264481	157965	93779	21277	97301		224968	40335	21277			
Aggro Hunter	Midrange Hunter	10000	0.27	2700	7300	622099		265108	127358	88898		88898		167600	18818	21882	12820	12820		0.7285	7285	2715	526738	1391	267400	126397	90592		90592		202116	6411	21930	13084	13084	
Tempo Rogue	Aggro Druid	10000	0.5931	5931	4069	664875	1085	378255	184324	107517	3211	108383	3	275754	27735	27517	27444	95	12	0.4057	4057	5943	862789		289579	174451	106642	28643	109584	2	247145	47492	28643			
Jade Druid	Exodia Mage	10000	0.8897	8897	1103	552383		827586	276386	159641	187158	265093	100707	215175	164570	45897				0.1086	1086	8914	865003	184	719598	351693	160251	60128	219263	27216	232994	154958	88684			
Aggro Paladin	Aggro Hunter	10000	0.5479	5479	4521	562669		265505	138386	92622		98963		199728	33723	22411	15876	15649		0.4479	4479	5521	582795		276621	132439	91857		91857		181949	19011	22875	13399	13399	
Tempo Rogue	Exodia Mage	10000	0.9696	9696	304	291471	192	518005	244547	134177	501	156538	1136	361881	37359	35686	35602	133	5	0.0303	303	9697	916450	153	531503	280133	132330	48554	182483	9746	193112	117093	76822	33	33	
Zoo Warlock	Aggro Hunter	10000	0.6649	6649	3351	638183	771	281565	153717	92153		128607	1	249070	14958	21960			22173	0.3351	3351	6649	631529		269205	129952	90353		90353		170740	19075	22609	13166	13166	
Secret Mage	Mill Rogue	10000	0.7525	7525	2475	545188	783	480686	270233	123002		177318	34917	251160	86132	57686	3581	3581	16	0.2473	2473	7527	348834	8362	387176	226500	120600		151685	1033	155712	95348	34411	50618	16207	
Aggro Paladin	Big Priest	10000	0.7599	7599	2401	309811	676	381617	181118	114928		144040	17186	241536	45595	25626	24022	22947		0.2398	2398	7602	668054	166094	361487	168535	111319		110944	862	54469	86213	69033	207	205	
Big Priest	Elemental Priest	10000	0.8752	8752	1248	635670	266484	954511	339025	202613	61	200326	8661	149971	173842	113118	1095	1093	9	0.1221	1221	8779	1070374	139320	846037	438037	201953	9981	238912	52111	280003	142988	152337	168	88	645
Dragon Priest	Midrange Hunter	10000	0.4076	4076	5924	748055	43981	372998	164272	106635		108050	113	198123	10167	59120	1006	935		0.5923	5923	4077	755447	1001	351642	155236	107971		107971		243875	8446	28189	16020	16020	
Secret Mage	Spiteful Priest	10000	0.0685	685	9315	977969	770	384437	220144	113541		137263	12941	169797	72836	62163	2858	2858	9	0.9315	9315	685	417895	57086	433374	181836	116228		119625	458	227001	12118	60659	152	122	
Big Spell Mage	Token Shaman	10000	0.2974	2974	7026	1438243	16061	686659	262305	158631	22507	170413	6269	234516	67076	91168	4674	5	34	0.7023	7023	2977	631652	15654	557152	269225	160492	1702	178455	15166	353434	83273	52834	14372	14227	188
Aggro Hunter	Exodia Mage	10000	0.9494	9494	506	305383		398994	178236	114246		131469	1	238848	23964	29385	17864	17864		0.0506	506	9494	683626	129	403666	221795	111308	37112	153489	2202	153429	92003	61166			
Tempo Rogue	Token Shaman	10000	0.3649	3649	6351	845360	2703	451751	217484	122438	312	123320	84	324779	31024	33142	33532	739	35	0.6351	6351	3649	1005299	12032	439567	215079	122567	1245	142455	488	293497	70945	33845	10424	10335	195
Cube Warlock	Demon Warlock	10000	0.5729	5729	4271	1368550	262762	748428	268203	185375		217436	89198	366956	79606	66032	6857	6857	18091	0.4261	4261	5739	1478971	259749	961059	290991	184798		217750	70682	332566	110685	56293	871	871	64
Big Priest	Tempo Rogue	10000	0.3204	3204	6796	828205	209045	485629	206479	131742		130417	3352	73662	107335	79522	351	351		0.6789	6789	3211	408966	4723	499349	233545	134243		134256	945	342006	33313	38858	37163	153	
Aggro Paladin	Zoo Warlock	10000	0.2559	2559	7441	649619		277400	145799	95643		102685	10	202681	35994	25326	17546	17115		0.7441	7441	2559	615553	1662	300142	163138	97667		137374	24	262830	15477	24643			23274
Aggro Paladin	Jade Druid	10000	0.3861	3861	6139	655523		427036	204544	124206		153848	11765	274333	50701	33432	28348	27201		0.6138	6138	3862	925603		568002	192002	123757	127982	186554	11913	170670	110952	34615			
Dragon Priest	Elemental Priest	10000	0.9828	9828	172	411777	63668	592083	229452	138887	9	146391	523	289932	18256	73229	283	246	77	0.0172	172	9828	1095914	138847	508148	287472	134983	4191	173006	6189	181651	99176	95555	60	28	243
Elemental Priest	Spiteful Priest	10000	0.0136	136	9864	1047642	128511	459754	264909	126523	3949	162367	4946	166896	92040	87864	41	20	256	0.9864	9864	136	371524	58703	531533	213204	130523	12	138420	521	267619	16539	69027	233	194	40
Dragon Priest	Jade Druid	10000	0.7609	7609	2391	879764	77381	691874	260327	153078	5455	158681	5055	318135	26775	84410	478	390	4	0.2389	2389	7611	1734207		740704	256322	151891	176008	230559	46277	208787	153236	46730			
Elemental Priest	Aggro Druid	10000	0.1258	1258	8742	1007998	157918	473951	280001	131241	4622	165461	20459	170046	97496	96441	45	16	281	0.8742	8742	1258	426880	381	366507	214564	133342	39882	137175	12	284486	55480	39885			1
Dragon Priest	Cube Warlock	10000	0.8737	8737	1263	833251	95728	695357	261644	154645		157193	4196	327070	23405	84986	715	609	1086	0.1261	1261	8739	1826436	255053	618433	233013	152333		197932	26543	290660	72896	50899	4849	4842	16971
Zoo Warlock	Elemental Priest	10000	0.8614	8614	1386	469024	8588	385892	199757	117575		167080	600	311597	16926	33654			27943	0.1386	1386	8614	874435	140186	385067	234407	113900	2992	147830	2557	144923	82309	78289	11	2	633
Tempo Rogue	Aggro Hunter	10000	0.5517	5517	4483	595730	45	319537	162591	95651	6	95769		250659	24860	23064	23160	274		0.4457	4457	5543	668053		292104	138801	94909		94909		190279	19619	24040	13861	13861	
Spiteful Priest	Highlander Priest	10000	0.9909	9909	91	369187	59558	540961	216182	131954	3	140147	480	271206	17054	69768	263	224	37	0.0091	91	9909	1054909	127781	464411	267371	127976	4143	167367	6715	170305	90656	89518	25	8	272
Mill Rogue	Aggro Hunter	10000	0.0199	199	9801	467531	5991	275918	175446	97108		118683	190	127341	74957	27189	39502	12313		0.979	9790	210	294750		367985	168449	100072		121718	61	246264	20793	21565	14814	14814	
Mill Rogue	Midrange Hunter	10000	0.003	30	9970	442144	5346	252410	163043	92279		112234	216	107722	70980	25775	37152	11377		0.997	9970	30	217845	544	329960	153420	95391		115395	91	252381	6573	20584	14120	14103	
Aggro Paladin	Tempo Rogue	10000	0.3943	3943	6057	707157		304810	156195	100939		110565	27	223036	38145	26459	19364	18886		0.6057	6057	3943	590879	3568	346893	174201	101499	21	102347		267344	26741	25402	25884	635	
Secret Mage	Cube Warlock	10000	0.2152	2152	7848	945830	7063	509426	278065	136844		174011	40505	222472	92112	75437	4266	4266	2473	0.7842	7842	2158	806601	220180	572860	208354	137224		186753	5062	257191	65602	39569	4145	4145	17314
Dragon Priest	Spiteful Priest	10000	0.3595	3595	6405	1224894	55705	575356	223485	136056		138650	3165	277055	17478	75081	418	309	1	0.6405	6405	3595	1079618	56200	585324	228091	137394		141017	2905	287324	16847	75221	360	272	
Big Spell Mage	Mill Rogue	10000	0.7978	7978	2022	819089	14426	884263	311873	181732	29637	218114	45481	338253	71239	87930	6662	1	85	0.197	1970	8030	485552	22319	589354	324820	179846		209016	27581	238993	136763	47146	68532	21386	
Token Shaman	Demon Warlock	10000	0.6954	6954	3046	821610	19266	601334	290792	174417	2094	191013	25734	376044	88488	60893	15908	15683	267	0.3037	3037	6963	1650326	249273	889496	272225	174331	177	206498	66103	301977	104140	51694	844	797	42
Zoo Warlock	Highlander Priest	10000	0.8645	8645	1355	476083	8547	391795	202600	118741		169356	637	315636	16795	34589			28083	0.1354	1354	8646	881387	140861	390244	236731	114936	2972	151939	3744	147926	81423	79652	19		610
Aggro Paladin	Token Shaman	10000	0.2253	2253	7747	772920	108	361567	180728	114704	63	126709	402	246246	44639	31997	23912	23001	33	0.7744	7744	2256	726907	13148	403123	197650	116080	1429	133910	197	262614	67613	29966	9761	9684	166
Zoo Warlock	Exodia Mage	10000	0.8593	8593	1407	399238	9711	399873	210707	124075		194594	8766	322000	18875	36303			31634	0.1389	1389	8611	780634	155	458605	253174	121312	41912	168865	2969	162877	103457	72322			1517
Midrange Hunter	Highlander Priest	10000	0.9826	9826	174	277331	827	345720	150552	106217		106260		234012	8074	26597	15153	15145		0.0174	174	9826	744168	106480	317528	197673	102000	2216	131862	2210	122783	69442	65431	297	291	107
Aggro Paladin	Mill Rogue	10000	0.9621	9621	379	263329		368374	190799	104852		135309	3380	281506	40663	22060	19936	19556		0.0377	377	9623	494059	6115	299401	186257	101468		124873	425	138035	79920	27873	40910	13037	
Miracle Rogue	Spiteful Priest	10000	0.034	340	9660	720897	5560	323159	192003	99235	3	142465	3896	147065	98831	27236	26641	138		0.966	9660	340	376044	44509	351698	156798	101453		105080	5	207232	11282	49443	65	31	21
Big Priest	Mill Rogue	10000	0.734	7340	2660	659573	272399	957781	317861	201123		227773	71538	148655	160865	102818	1002	1002		0.262	2620	7380	534034	50067	715594	381652	199666		233198	41933	279867	150551	48790	84531	35741	
Zoo Warlock	Tempo Rogue	10000	0.6802	6802	3198	784052	3217	332810	177028	102816		145382	155	286806	15984	27023			25183	0.3198	3198	6802	713152	3032	340871	173152	101643	56	102073	26	258536	25921	26273	26167	80	1386
Demon Warlock	Exodia Mage	10000	0.6185	6185	3815	960205	264241	1017401	299673	189292		236532	130684	341497	113154	53644	1039	1039		0.3749	3749	6251	913522	8292	910405	418146	193682	61752	243720	93551	267606	195905	107744	246	246	
